Date,Open,High,Low,Close,Adj Close,Volume
2014-02-27,16878.539063,16914.750000,16665.240234,16826.880859,16826.880859,15995200
2014-02-28,16827.390625,16891.730469,16767.880859,16891.730469,16891.730469,18718900
2014-03-03,16653.490234,16653.490234,16427.419922,16449.279297,16449.279297,22437900
2014-03-04,16530.900391,16827.630859,16530.900391,16825.669922,16825.669922,16057000
2014-03-05,16832.820313,16878.160156,16812.789063,16840.869141,16840.869141,12036700
2014-03-06,16880.230469,16938.320313,16850.929688,16876.089844,16876.089844,15750800
2014-03-07,16886.589844,16893.439453,16647.070313,16655.960938,16655.960938,14768900
2014-03-10,16609.960938,16703.509766,16434.330078,16494.470703,16494.470703,17146800
2014-03-11,16514.630859,16581.859375,16444.449219,16475.000000,16475.000000,13262700
2014-03-12,16431.800781,16431.800781,16176.059570,16247.349609,16247.349609,14931400
2014-03-13,16270.849609,16317.750000,16066.480469,16066.500000,16066.500000,14064400
2014-03-14,15951.129883,16058.879883,15831.809570,16009.799805,16009.799805,20910000
2014-03-17,16017.870117,16329.009766,16017.870117,16294.959961,16294.959961,12700400
2014-03-18,16311.540039,16511.609375,16207.610352,16421.640625,16421.640625,15894800
2014-03-19,16448.060547,16547.960938,16393.419922,16443.890625,16443.890625,14540400
2014-03-20,16391.820313,16391.820313,16251.509766,16361.480469,16361.480469,14858300
2014-03-21,16379.969727,16443.529297,16337.440430,16337.440430,16337.440430,40837200
2014-03-24,16358.009766,16388.060547,16042.099609,16080.650391,16080.650391,16551300
2014-03-25,16105.410156,16278.910156,16105.410156,16268.280273,16268.280273,15851600
2014-03-26,16299.879883,16470.279297,16299.879883,16407.070313,16407.070313,16470700
2014-03-27,16382.360352,16414.419922,16300.110352,16334.750000,16334.750000,14877400
2014-03-28,16372.360352,16494.980469,16372.360352,16444.490234,16444.490234,16601100
2014-03-31,16482.189453,16533.400391,16426.779297,16461.679688,16461.679688,13614700
2014-04-01,16521.599609,16624.769531,16492.619141,16606.710938,16606.710938,16241900
2014-04-02,16623.679688,16673.919922,16591.800781,16614.580078,16614.580078,15069200
2014-04-03,16637.560547,16692.820313,16568.859375,16628.839844,16628.839844,12796000
2014-04-04,16645.140625,16772.099609,16644.820313,16714.250000,16714.250000,12566800
2014-04-07,16625.390625,16625.460938,16471.949219,16482.830078,16482.830078,13047700
2014-04-08,16514.300781,16516.449219,16114.230469,16253.549805,16253.549805,25405500
2014-04-09,16300.339844,16383.450195,16288.089844,16333.019531,16333.019531,17890000
2014-04-10,16389.810547,16480.730469,16252.469727,16269.809570,16269.809570,18142700
2014-04-11,16186.450195,16186.450195,15957.070313,16029.230469,16029.230469,17924800
